"sample_index","file_name","timestamp","byte_4","byte_4_diff","driving_state"
"335","00000001-69B44F7F.MF4","69.3094","1","253.0","driving"
"336","00000001-69B44F7F.MF4","69.50725","3","2.0","idle"
"337","00000001-69B44F7F.MF4","69.70524999999999","2","1.0","idle"
"338","00000001-69B44F7F.MF4","69.90325","1","1.0","idle"
"339","00000001-69B44F7F.MF4","70.1014","1","0.0","idle"
"340","00000001-69B44F7F.MF4","70.29945","0","1.0","idle"
"341","00000001-69B44F7F.MF4","70.49725","255","255.0","driving"
"342","00000001-69B44F7F.MF4","70.6953","255","0.0","idle"
"343","00000001-69B44F7F.MF4","70.8918","254","1.0","idle"
"344","00000001-69B44F7F.MF4","71.0898","255","1.0","idle"
"345","00000001-69B44F7F.MF4","71.28805","255","0.0","idle"
"346","00000001-69B44F7F.MF4","71.4858","255","0.0","idle"
"347","00000001-69B44F7F.MF4","71.68379999999999","254","1.0","idle"
"348","00000001-69B44F7F.MF4","71.8818","254","0.0","idle"
"349","00000001-69B44F7F.MF4","72.07979999999999","255","1.0","idle"
"350","00000001-69B44F7F.MF4","72.2779","254","1.0","idle"
"351","00000001-69B44F7F.MF4","72.47579999999999","255","1.0","idle"
"352","00000001-69B44F7F.MF4","72.6738","255","0.0","idle"
"353","00000001-69B44F7F.MF4","72.8718","254","1.0","idle"
"354","00000001-69B44F7F.MF4","73.0698","0","254.0","driving"
"355","00000001-69B44F7F.MF4","73.26795","0","0.0","idle"
"356","00000001-69B44F7F.MF4","73.4658","0","0.0","idle"
"357","00000001-69B44F7F.MF4","73.6638","0","0.0","idle"
"358","00000001-69B44F7F.MF4","73.8618","1","1.0","idle"
"359","00000001-69B44F7F.MF4","74.0598","1","0.0","idle"
"360","00000001-69B44F7F.MF4","74.25795","255","254.0","driving"
"361","00000001-69B44F7F.MF4","74.4558","254","1.0","idle"
"362","00000001-69B44F7F.MF4","74.65379999999999","255","1.0","idle"
"363","00000001-69B44F7F.MF4","74.8518","254","1.0","idle"
"364","00000001-69B44F7F.MF4","75.04979999999999","9","245.0","driving"
"365","00000001-69B44F7F.MF4","75.24795","244","235.0","driving"
"366","00000001-69B44F7F.MF4","75.44579999999999","0","244.0","driving"
"367","00000001-69B44F7F.MF4","75.6438","1","1.0","idle"
"368","00000001-69B44F7F.MF4","75.84179999999999","0","1.0","idle"
"369","00000001-69B44F7F.MF4","76.0398","0","0.0","idle"
"370","00000001-69B44F7F.MF4","76.23805","254","254.0","driving"
